Judet,Nume Unitati,Tip,Latitudine,Longitudine
Constanța,"Școala Gimnazială nr.16 ""Marin Ionescu Dobrogianu"" Constanța, județul Constanța",Școală Gimnazială,43.8218813,28.5801269
Constanța,"Grădinița cu Program Prelungit ""Steluțele Mării"", Constanța, județul Constanța",Grădinița cu Program Prelungit,44.1742272,28.6238912
Constanța,"Liceul Teoretic ""Ioan Cotovu"", Constanța, județul Constanța",Liceu Teoretic,44.6871127,27.9525597
Constanța,"Școala Gimnazială ""Adrian V. Rădulescu"" Murfatlar- G.P.N. Nr. 2, județul Constanța",Școală Gimnazială,44.1784025,28.4069454
Constanța,"C.J.R.A.E. Constanța, județul Constanța",C.J.R.A.E.,44.1995205,28.6465217
Constanța,"Școala Gimnazială Pantelimon, din localitatea Pantelimon, județul Constanța",Școală Gimnazială,44.4503436,26.2278065
Constanța,"Grădinița cu Program Prelungit nr. 1 Valu lui Traian, din localitatea Valu lui Traian, județul Constanța",Grădinița cu Program Prelungit,44.1648605,28.480182
Constanța,"Liceul Tehnologic ""Gheorghe Duca"" Constanța, județul Constanța",Liceu Tehnologic,44.1667912,28.5807897
Constanța,"Școala Gimnazială Nr 23 ""Constantin Brancoveanu"" Constanța, județul Constanța",Școală Gimnazială,44.180933,28.6176332
Constanța,"Școala Gimnazială Nr.22"" ""I.C.Brătianu"", Constanța, județul Constanța",Școală Gimnazială,44.1721926,28.6292326
Constanța,"Liceul Tehnologic ""Axiopolis"" Cernavodă, Județul Constanța",Liceu Tehnologic,44.333671,28.0376127
Constanța,"Grădiniță cu program normal ""Năsturel"" Constanța",Grădiniță cu program normal,44.1759147,28.6519359
Constanța,"Centrul Școlar pentru Educație Incluzivă ""Delfinul"" Constanța, județul Constanța",Centrul Școlar pentru Educație Incluzivă,44.189209,28.63731
Constanța,"Liceul Teoretic ""Decebal"" Constanța Grădinița ""Flipper"" - structură, Constanța",Liceu Teoretic,44.2109876,28.6273456
Constanța,"Şcoala Gimnazială nr 24 ""Ion Jalea"" Constanța, județul Constanța",Şcoală Gimnazială,44.1310739,28.604751
Dâmbovița,"Școala Gimnazială Pătroaia-Vale din localitatea Crângurile, județul Dâmbovița",Școală Gimnazială,44.7247195,25.2251243
Dâmbovița,"Școala Gimnazială ""Matei Gr Vladeanu"" Cândești Vale, din localitatea Cândești, județul Dâmbovița",Școală Gimnazială,45.0870036,25.2143617
Dâmbovița,"Școala Gimnazială Nr. 4 ""Elena Donici Cantacuzino"", județul Dâmbovița",Școală Gimnazială,45.0724827,25.436194
Dâmbovița,"Școala Gimnazială ""Mihai Viteazul"" Pucioasa, județul Dâmbovița",Școală Gimnazială,45.078324,25.4313862
Dimbovita,"Școala Gimnazială ""Matei Basarab"" Târgoviște, din localitatea Târgoviște, județul Dâmbovița",Școală Gimnazială,44.9301408,25.4420148
Dolj,"Grădinița cu program prelungit ""Curcubeul Copilăriei"" Craiova, județul Dolj",Grădinița cu program prelungit,44.3318106,23.7941122
Dolj,"Liceul ""Voltaire"" Craiova, județul Dolj",Liceu,44.3071867,23.8226512
Dolj,"Școala Gimnazială ""Nicolae Romanescu"", municipiul Craiova, județul Dolj",Școală Gimnazială,44.3044073,23.8140437
Dolj,"Grădinița cu Program Prelungit""Floare Albastră "" Craiova, județul Dolj",Grădinița cu Program Prelungit,44.3022179,23.7923566
Dolj,"Şcoala Gimnazială Vârtop, județul Dolj",Şcoală Gimnazială,44.2092785,23.3454514
Dolj,"Școala Gimnazială Breasta, Dolj",Școală Gimnazială,44.3418935,23.6901747
Dolj,"Școala Gimnazială ""Lascăr Catargiu"", Craiova, Județul Dolj",Școală Gimnazială,44.3068645,23.7829297
Galați,"Școala Gimnazială Româno-Britanică,Galați, județul Galați",Școală Gimnazială,45.409913,28.015708
Galați,"Colegiul Național ""Vasile Alecsandri"", Galați, județul Galați",Colegiu Național,45.4407762,28.0517332
Galați,"Școala Profesională Specială ""Emil Gârleanu"", Galați, județul Galați",Școală Profesională Specială,45.4440612,28.0511436
Galați,"Școala Gimnazială nr 2 Barcea, din localitatea Barcea, județul Galați",Școală Gimnazială,45.7530125,27.4690679
Galați,"Școala Gimnazială Nr. 28 Galați, județul Galați",Școală Gimnazială,45.4288125,28.0493125
Galați,"Școala Gimnazială ""Negoiță Dănăilă"" sat Bucești, Galați",Școală Gimnazială,45.6617863,27.5245768
Galați,"Școala Gimnazială Specială ""Constantin Pufan"" Galați, județul Galați",Școală Gimnazială Specială,45.4493558,28.0246281
Galați,"Școala Gimnazială ""Sfantul Nicolae"", Județul Galați",Școală Gimnazială,45.4347383,28.0226658
Galați,"Școala Gimnazială Nr. 2 Liești, județul Galați",Școală Gimnazială,45.6326589,27.5345231
Galați,"Școala Gimnazială nr 29 Galați, județul Galați",Școală Gimnazială,45.4150702,28.0163473
Giurgiu,"Școala Gimnazială nr.2 Cartojani, Cartojani, județul Giurgiu",Școală Gimnazială,44.432022,25.4909035
Giurgiu,"Liceul Tehnologic ""Dimitrie Bolintineanu"", localitatea Bolintin-Vale, județul Giurgiu",Liceu Tehnologic,44.4462392,25.7566684
Gorj,"Grădinița cu Program Prelungit Nr. 8 Târgu-Jiu, județul Gorj",Grădinița cu Program Prelungit,45.026527,23.275459
Gorj,"Centrul Școlar pentru Educație Incluzivă Tg-Jiu, județul Gorj",Centrul Școlar pentru Educație Incluzivă,45.0670372,23.2910644
Gorj,"Grădinița cu Program Prelungit ""Vis de Copil"", Tg-Jiu, județul Gorj",Grădinița cu Program Prelungit,45.0363696,23.2718095
Gorj,"Școala Gimnazială ""Antonie Mogoș"", Ceauru, județul Gorj",Școală Gimnazială,45.0124012,23.2025983
Gorj,"Școala Gimnazială Nr. 1 Polovragi, județul Gorj",Școală Gimnazială,45.1743,23.813283
Gorj,"Liceul de Arte "" Constantin Brăiloiu"" din localitatea Tg-Jiu, județul Gorj",Liceu de Arte,45.043927,23.278454
Gorj,"Școala Gimnazială Țânțăreni din localitatea Țânțăreni, județul Gorj",Școală Gimnazială,44.59486,23.4919296
Gorj,"Școala Gimnazială Capu Dealului din localitatea Brănești, județul Gorj",Școală Gimnazială,44.648186,23.4599274
Gorj,"Școala Gimnazială Nr.1 Rovinari, din localitatea Rovinari, județul Gorj",Școală Gimnazială,44.8948915,23.1618706
Gorj,"Liceul Mătasari, din localitatea Mătasari, județul Gorj",Liceu,44.8448521,23.0906882
Gorj,"Școala Gimnazială Nr. 3 Rovinari, județul Gorj",Școală Gimnazială,44.8981992,23.164578
Gorj,"Şcoala Gimnazială Nr.1 Bumbești -Jiu, Gorj",Şcoală Gimnazială,45.1784321,23.3823992
Gorj,"Colegiul Mihai Viteazul Bumbești -Jiu, Gorj",Colegiu,45.1756566,23.38386
Gorj,Gradinița Nr. 1 Albeni; Gorj,Grădiniță,45.0269456,23.6020925
Gorj,"Grădinița Nr. 2 Albeni , Gorj",Grădiniță,44.7042686,23.0919095
Gorj,"Colegiul Național ""Spiru Haret"" Târgu Jiu, Gorj",Colegiu Național,45.0278806,23.278474
Gorj,"Școala Gimnazială Căpreni, Gorj",Școală Gimnazială,44.7448359,23.6255595
Gorj,"Școala Gimnazială Săcelu, Gorj",Școală Gimnazială,45.0977315,23.5403491
Gorj,"Școala Gimnazială ""Gheorghe Tatarescu"", Târgu Jiu, Gorj",Școală Gimnazială,45.0286121,23.2719612
Gorj,"Școala Gimnazială ""Aurel Teodorescu"" Stejari, Gorj",Școală Gimnazială,45.1562695,23.2581734
Gorj,"Colegiul Național ""George Coșbuc"" Motru, Gorj",Colegiu Național,44.8057385,22.966584
Gorj,Școala Gimnazială Scoarța,Școală Gimnazială,45.0207403,23.4665469
